scorer,scorer,scorer,scorer,scorer,scorer,scorer
bodyparts,pawL,pawL,pawR,pawR,nose,nose
coords,x,y,x,y,x,y
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00014526.jpg,257.88117306175087,104.66913617252098,231.60217528626578,90.6581204094893,265.3357246979738,93.6113905330009
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00053092.jpg,222.3861448484557,153.79307998140703,156.856284249085,178.3041105120751,265.71498020684044,89.23885532728167
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00085435.jpg,214.6797996669665,145.27149626006525,175.7297383854749,155.29594194817892,264.61396382040925,90.78047263804783
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00081847.jpg,230.16996508184434,140.08488132148673,181.0207764251137,170.50014323341932,267.0740986517727,88.50941535281817
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00074140.jpg,199.24561804956147,142.81572259910703,153.9533593691036,162.8173011725691,266.9623853128609,89.97901820000425
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00014013.jpg,244.39890501523624,108.16261032901383,211.27948385557195,109.75927483938614,264.3924455619043,91.21586839750412
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00095643.jpg,205.91160871088516,150.98542078655527,183.60254383089105,163.5781744609372,265.2296214029035,91.02372790771156
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00017752.jpg,235.04897828872424,154.0095241502218,178.3460216353948,170.89089684224427,263.2422318930195,84.97306679609991
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00057483.jpg,195.42749169433444,150.6906461928488,167.1181163673762,181.33422240314607,266.6208439510318,94.15031644117755
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00030156.jpg,207.27554272962723,143.62969250013003,165.7285065010765,160.60390421324138,266.33158365022416,93.29495604643498
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00028750.jpg,218.8364463482315,150.21898234493597,166.16412299189065,156.50868457671228,266.1563870765168,92.96407340070206
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00075826.jpg,209.87653208008757,157.73040069446634,197.16345578349018,172.51307528177375,267.1022264358652,91.78298745237637
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00033054.jpg,201.87766206175905,148.09371111519724,170.09923639206795,164.50543437089283,266.923136358895,92.50239742703448
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00020772.jpg,225.97309463710246,155.88753002898625,172.88727113536717,145.25517226099208,264.0370001567243,86.10906190174009
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00049508.jpg,233.66338381329564,154.47986854511856,174.50169910411233,159.09590869399585,266.6075655794749,90.32729681479765
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00080242.jpg,188.93970921708504,154.746102915581,172.0808009662267,164.82932235143346,267.1244488726441,93.41678989298714
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00043929.jpg,223.1919856177588,153.2762670808888,199.85674733907467,157.79049806050273,264.8829049269553,88.99974181296346
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00009770.jpg,200.01376716536777,148.86470964526347,175.95535644880732,155.2310851373469,266.94664020809216,89.69648456714609
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00009644.jpg,231.41861228067575,157.70876453787253,183.385956381645,151.34471001017,266.05351984600964,86.8691406224188
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00061822.jpg,194.00845305518789,154.37141084179922,151.9258987617438,128.32076290690463,265.5895691052412,87.3164106099386
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00040340.jpg,222.59087994883532,154.521904783127,203.0347742860586,162.04330263708187,265.68503224145627,89.30623506924348
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00087608.jpg,215.87503047703368,157.54244149709194,193.36107904157882,172.0503323919009,265.55263065627645,86.07092857075673
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00049214.jpg,197.92727998968726,151.69660674691596,204.27417790312302,150.732313369053,265.83889491129935,90.26675058667968
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00010723.jpg,210.16587167267497,147.4001901784399,185.13441609793486,180.57348735261405,267.518015563755,90.3157230320727
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00042245.jpg,221.24776777417225,155.07930297515685,160.22449975095884,162.5691801459173,265.31396028681155,91.81849694853531
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00056247.jpg,237.08803023049867,143.60567058090388,176.35602869887208,161.55091401857732,266.81486223117497,91.88325003056818
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00046105.jpg,210.42396176721195,145.45514306011756,167.49573075047778,170.43163325317238,268.23823438606473,92.1174781684968
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00056318.jpg,211.04540142303802,156.84300856688168,178.08712395408295,137.6024920096886,264.720658516098,90.14506332940678
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00028596.jpg,218.95635630659015,152.89347530788766,195.39906642296637,170.55435928187944,266.6787593667083,90.49271589679043
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00014474.jpg,212.1858323020706,154.23711932171494,171.87909288183758,131.9486065787856,264.9186160877896,92.46147219044235
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00011206.jpg,215.70864845729156,148.409499286168,185.55569042536854,181.2132858613928,266.8963937018067,91.51596989167462
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00063080.jpg,228.1960447898636,157.89116233444258,206.3462562226823,162.80476777403857,264.878461650931,89.33056534436761
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00017266.jpg,216.96480913662373,156.5763781797865,153.9558397450419,175.40100063373222,266.375606489541,92.08356286167756
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00072735.jpg,228.2279077357937,136.5917708325668,172.39543810656784,163.49559505927056,263.8757854933943,89.86853760955077
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00028753.jpg,215.12543474192717,145.41636435438352,171.53943876540063,154.64213581403408,267.69149724670774,92.21468158477438
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00016813.jpg,200.11473914767134,142.43556218716498,190.1125421222521,163.91299482908892,266.3325330668928,90.64715561965315
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00021899.jpg,199.49743052278544,147.63936011512246,159.46288303199742,160.53975007957138,266.49531420592905,94.0817934723768
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00014821.jpg,222.22420412198312,149.02310166741557,239.6053309874273,127.1200908835336,265.3205829724096,95.44020277254134
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00037106.jpg,196.98663724536527,150.26164239766536,194.14693693296084,165.36338818531834,265.5848976859382,90.80161763139688
labeled_data/_iblrig_rightCamera.downsampled.0802ced5-33a3-405e-8336-b65ebc5cb07c/img00030294.jpg,224.72214902723834,154.73756248705615,185.21137200100085,160.26659556236305,266.8502178379068,91.36571772172036
labeled_data/_iblrig_rightCamera.downsampled.a405053a-eb13-4aa4-850c-5a337e5dc7fd/img00061861.jpg,143.97025308417784,82.790653798721,213.12965537436253,143.11724166021068,266.615631675166,43.266294251926524
labeled_data/_iblrig_rightCamera.downsampled.a405053a-eb13-4aa4-850c-5a337e5dc7fd/img00018135.jpg,127.5625936335853,98.07960421209992,147.76994449875272,156.82594147536406,267.22948207663404,46.205833933956
labeled_data/_iblrig_rightCamera.downsampled.a405053a-eb13-4aa4-850c-5a337e5dc7fd/img00060517.jpg,127.52126178294682,92.47322131719227,210.06338855190717,140.59693842758605,267.199455747574,44.3967174027851
labeled_data/_iblrig_rightCamera.downsampled.a405053a-eb13-4aa4-850c-5a337e5dc7fd/img00056338.jpg,138.73987761096492,105.46386815628321,203.5534420417526,146.23624849578158,266.78983471540266,43.71992545879712
labeled_data/_iblrig_rightCamera.downsampled.a405053a-eb13-4aa4-850c-5a337e5dc7fd/img00080313.jpg,133.81451501443908,100.02112020744354,202.92458686586752,152.77726144737233,267.4591603612377,46.17300812702348
